vendor_category,department_name,reporting_month,total_shipments,total_gross_sales,avg_delay_days,late_delivery_rate,rolling_3_month_sales_avg,risk_rank_within_department
Men's Footwear,Apparel,9/5/201,74,9619.26,1.24,78.38,9792.58,1
Cleats,Apparel,12/25/2,56,9658.39,1.16,67.86,9738.38,2
Cleats,Apparel,12/14/2,52,9538.41,1.15,67.31,9758.37,3
Cleats,Apparel,12/23/2,54,9478.42,1.11,66.67,8098.65,4
Men's Footwear,Apparel,5/2/201,56,7279.44,1.11,75.0,8232.7,4
Men's Footwear,Apparel,5/27/20,67,8709.33,1.1,67.16,8752.66,5
Cleats,Apparel,5/1/201,82,14277.62,1.09,71.95,13257.79,6
Men's Footwear,Apparel,8/29/20,63,8189.37,1.08,77.78,8362.69,7
Men's Footwear,Apparel,9/24/20,54,7019.46,1.07,75.93,8752.66,8
Men's Footwear,Apparel,6/15/20,63,8189.37,1.06,71.43,9099.3,9
Men's Footwear,Apparel,10/15/2,38,4939.62,1.05,71.05,5589.57,10
Men's Footwear,Apparel,4/5/201,56,7279.44,1.05,67.86,9142.63,10
Cleats,Apparel,1/17/20,77,14157.64,1.04,58.44,14217.63,11
Men's Footwear,Apparel,11/2/20,52,6759.48,1.04,73.08,6369.51,11
Cleats,Apparel,1/30/20,62,10618.23,1.03,69.35,11398.1,12
Cleats,Apparel,3/28/20,59,10858.19,1.03,67.8,10318.28,12
Men's Footwear,Apparel,5/1/201,60,7799.4,1.03,70.0,9055.97,12
Men's Footwear,Apparel,7/14/20,79,10269.21,1.03,69.62,9705.92,12
Cleats,Apparel,8/1/201,79,13017.83,1.01,64.56,12677.89,13
Men's Footwear,Apparel,10/31/2,39,5069.61,1.0,64.1,5762.89,14
Men's Footwear,Apparel,4/4/201,83,10789.17,1.0,65.06,9315.95,14
Men's Footwear,Apparel,7/13/20,78,10139.22,1.0,75.64,9099.3,14
Cleats,Apparel,1/23/20,83,15897.35,0.99,72.29,15197.47,15
Cleats,Apparel,2/17/20,78,13617.73,0.99,69.23,14877.52,15
Cleats,Apparel,12/26/2,41,7438.76,0.98,73.17,9058.49,16
Cleats,Apparel,12/7/20,43,7498.75,0.98,72.09,9398.43,16
Cleats,Apparel,7/14/20,84,16737.21,0.98,66.67,13437.76,16
Cleats,Apparel,9/23/20,81,14697.63,0.98,70.37,14557.61,16
